id,winery,wine,year,rating,num_reviews,num_reviews_grp,region,price,type,body,acidity,acidity_level,taste,accomp_meal,category,alcohol_percentage,uds_vino,description
1,"Descendientes de J. Palacios","La Faraona Bierzo (Corullon)",2010,4.6,28,"not important at all",Bierzo,3119.08,Red,4,3,high,dry,,Red,13.5,4,"La Faraona Bierzo from Descendientes de J. Palacios is known for its intense. complex. and fruity flavor profile. It is a dry wine with moderate tannins and a good acidity level. The fruit flavors may include dark cherry. blackberry. and plum. with hints of spice and earthy undertones. This wine is best accompanied by rich and hearty dishes such as grilled or roasted meats. stews. and strong cheeses."
2,"Vega Sicilia",Unico,1965,4.6,218,"not important at all","Ribera del Duero",2884.04,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
3,"Bodega Numanthia",Termanthia,2004,4.7,108,"not important at all",Toro,2814.16,"Toro Red",5,3,high,tannic,,Red,14.5,4,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
4,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2010,4.6,60,"not important at all",Priorato,2750,"Priorat Red",4,3,high,dry,,Red,14.5,3,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
5,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2011,4.6,27,"not important at all",Priorato,2750,"Priorat Red",4,3,high,dry,,Red,14.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
6,"Vega Sicilia",Unico,1968,4.7,225,"not important at all","Ribera del Duero",2087.25,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
7,"Dominio de Pingus",Pingus,2005,4.6,293,"not important at all","Ribera del Duero",1785.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
8,"Dominio de Pingus",Pingus,1996,4.6,102,"not important at all","Ribera del Duero",1746.94,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
9,"Dominio de Pingus",Pingus,1999,4.7,184,"not important at all","Ribera del Duero",1715.18,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,3,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
10,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2014,4.6,30,"not important at all",Priorato,1660,"Priorat Red",4,3,high,dry,,Red,14.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
